license_category,repo_license,rows,row_percent,unique_repositories
no_license,<missing>,230532,41.891,2733
permissive,MIT,175830,31.9508,936
permissive,Apache-2.0,133302,24.2229,641
copyleft,GPL-3.0,5988,1.0881,126
permissive,BSD-3-Clause,882,0.1603,30
copyleft,AGPL-3.0,876,0.1592,26
permissive,MPL-2.0,582,0.1058,6
other,EPL-2.0,504,0.0916,1
copyleft,GPL-2.0,474,0.0861,9
permissive,CC0-1.0,438,0.0796,9
permissive,Unlicense,282,0.0512,5
permissive,LGPL-3.0,198,0.036,7
permissive,BSD-2-Clause,114,0.0207,4
other,BSD-3-Clause-Clear,90,0.0164,2
other,CC-BY-4.0,72,0.0131,4
permissive,EUPL-1.2,48,0.0087,3
permissive,LGPL-2.1,48,0.0087,5
other,MulanPSL-2.0,36,0.0065,1
copyleft,CC-BY-SA-4.0,18,0.0033,2
